LABEL,S,2E,lambda,Tc,kappa,K
t5089,9,48,1.4705084408300797,3.1185209771785587,5.333333333333333,5
t5090,10,54,1.4850050583480408,3.167205402683411,5.4,5
t5091,16,66,1.1821739229358894,2.253049932784491,4.125,5
t5092,14,60,1.2286044371519087,2.382193417053835,4.285714285714286,5
t5093,32,132,1.183629561493191,2.265263769572089,4.125,5
t5094,28,124,1.245323232835046,2.3220254985666955,4.428571428571429,5
t5095,9,38,1.220181559391482,2.397282946110951,4.222222222222222,5
t5096,15,60,1.159526349478223,2.2371830853509485,4.0,5
t5097,15,60,1.1595266944604212,2.2371827764426424,4.0,5
t5098,9,40,1.2737154238810322,2.5298839868541294,4.444444444444445,5
t5099,8,36,1.2837164611467418,2.5638145123822187,4.5,5
t5100,9,42,1.3207763106870425,2.667641962919506,4.666666666666667,5
t5101,16,64,1.15354074580144,2.208748598971814,4.0,5
t5102,16,64,1.15367211159167,2.210554925241312,4.0,5
t5103,14,56,1.1508716021604386,2.1955610815334823,4.0,5
t5104,14,56,1.1525122960699312,2.207144493286476,4.0,5
t5105,16,64,1.1535404602803132,2.2087380409769364,4.0,5
t5106,16,64,1.1536721044190443,2.2105444912986467,4.0,5
t5107,14,56,1.1508714553138717,2.195548239472915,4.0,5
t5108,14,56,1.1525120427312587,2.2071324816260374,4.0,5
t5109,8,36,1.287465114604077,2.563814512367156,4.5,5
t5110,9,42,1.3271881639139238,2.667641962937726,4.666666666666667,5
t5111,9,44,1.374401152527576,2.8112141469776413,4.888888888888889,5
t5112,8,40,1.3962772652150832,2.8853900817664644,5.0,5
t5113,9,46,1.4206675337155277,2.961273925677166,5.111111111111111,5
t5114,10,46,1.3114261167707748,2.625734196525692,4.6,5
t5115,9,42,1.3244882929194346,2.6676419629377257,4.666666666666667,5
t5116,10,48,1.353748243691585,2.7530449589741552,4.8,5
t5117,14,56,1.1518113346366043,2.2012954088986807,4.0,5
t5118,13,52,1.1408036898081204,2.1478871729177587,4.0,5
t5119,13,52,1.1443938525243915,2.1739215977121176,4.0,5
t5120,14,64,1.2869724355529626,2.5285711954656542,4.571428571428571,5
t5121,13,52,1.1407868730110031,2.147405768573495,4.0,5
t5122,13,52,1.1443779451200382,2.1734907862833497,4.0,5
t5123,14,64,1.2869595182097897,2.528410105909407,4.571428571428571,5
t5124,15,68,1.2849556356358005,2.5471094279043185,4.533333333333333,5
t5125,15,68,1.2873247118162103,2.5238292103269666,4.533333333333333,5
t5126,13,54,1.1858224317420964,2.2487817177538423,4.153846153846154,5
t5127,11,48,1.2455846157617876,2.4151260394046687,4.363636363636363,5
t5128,36,162,1.2800055386105584,2.512918729975251,4.5,5
t5129,9,44,1.380547765366657,2.811214146975729,4.888888888888889,5
t5130,8,40,1.4037338466744882,2.885390081786445,5.0,5
t5131,9,46,1.4273703242690057,2.9612739256995164,5.111111111111111,5
t5132,9,46,1.4276961639129735,2.961273925698704,5.111111111111111,5
t5133,9,48,1.4742299762139706,3.118520977156244,5.333333333333333,5
t5134,8,44,1.5083242902242553,3.241613388599564,5.5,5
t5135,9,50,1.5202238034126951,3.2836900953239443,5.555555555555555,5
t5136,10,48,1.3594265688348768,2.7530449589571777,4.8,5
t5137,10,50,1.401869908373372,2.885390081768983,5.0,5
t5138,9,46,1.4243428848458215,2.96127392570043,5.111111111111111,5
t5139,10,52,1.4434798376675584,3.023270000646108,5.2,5
t5140,9,44,1.3777955883432085,2.8112141469759826,4.888888888888889,5
t5141,10,50,1.4016983740306714,2.88539008176898,5.0,5
t5142,9,46,1.4247261412443244,2.961273925680895,5.111111111111111,5
t5143,11,52,1.333992001763433,2.6522373301763347,4.727272727272728,5
t5144,30,152,1.4208800600453426,2.9489995581006148,5.066666666666666,5
t5145,27,132,1.3785620911238672,2.8034427583145423,4.888888888888889,5
t5146,19,84,1.2553814869065951,2.425920829854764,4.421052631578948,5
t5147,48,198,1.174816199240889,2.210998419572879,4.125,5
t5148,42,174,1.1826646746672351,2.241875615366352,4.142857142857143,5
t5149,37,156,1.2024582263896304,2.298687164288576,4.216216216216216,5
t5150,14,60,1.2212882390667907,2.3429656962165257,4.285714285714286,5
t5151,54,216,1.1464411405964974,2.161012419844376,4.0,5
t5152,18,78,1.2364824126127902,2.39238121664998,4.333333333333333,5
t5153,31,132,1.206607112381882,2.2805194499897774,4.258064516129032,5
t5154,16,72,1.2731946261578388,2.47068515795056,4.5,5
t5155,10,42,1.1917969009074003,2.24561187820654,4.2,5
t5156,20,84,1.1917969204929535,2.245609664343581,4.2,5
t5157,48,198,1.173987470355259,2.201269338178807,4.125,5
t5158,42,174,1.181711639753828,2.229982460985409,4.142857142857143,5
t5159,15,60,1.145880085442951,2.173783344484936,4.0,5
t5160,16,72,1.2714775876383664,2.4961576728914268,4.5,5
t5161,16,64,1.139209017367275,2.141240221545571,4.0,5
t5162,14,56,1.1344000356742028,2.118124849461263,4.0,5
t5163,14,56,1.1361335870576676,2.130936217994035,4.0,5
t5164,16,64,1.1421142288344073,2.162621438001752,4.0,5
t5165,14,56,1.137794918688496,2.143319440110964,4.0,5
t5166,14,56,1.1394398846902285,2.155307689858484,4.0,5
t5167,14,64,1.290791172306907,2.529060309026556,4.571428571428571,5
t5168,14,64,1.2907918373821554,2.529060309026563,4.571428571428571,5
t5169,12,56,1.3071497900611249,2.5731016827269504,4.666666666666667,5
t5170,15,60,1.1460217129627333,2.175838680654031,4.0,5
t5171,16,72,1.271352160414155,2.4950993819973752,4.5,5
t5172,14,56,1.1342395427377447,2.1155889442764115,4.0,5
t5173,14,56,1.135973416030253,2.128513256724004,4.0,5
t5174,14,56,1.1376419966005848,2.140999587445398,4.0,5
t5175,14,56,1.139288440059152,2.153082366922962,4.0,5
t5176,14,64,1.2906581274201052,2.5279213889926297,4.571428571428571,5
t5177,14,64,1.290658109008329,2.527921388992629,4.571428571428571,5
t5178,12,56,1.306996645241179,2.5718746884509125,4.666666666666667,5
t5179,16,64,1.1454830455467564,2.162610594790528,4.0,5
t5180,13,52,1.1419728866027463,2.1567013103270174,4.0,5
t5181,13,52,1.1437537105783528,2.169623747814029,4.0,5
t5182,13,52,1.141636932573762,2.1517196058577883,4.0,5
